cod_ibge,Municipio,nome_microrregiao,nome_mesorregiao,idx_gobernanza,idx_biodiv,idx_vulnerabilidad,idx_riesgo_total,idx_riesgo_salud,idx_riesgo_clima,idx_riesgo_nutricion,cat_vulnerabilidad,categoria_gap
350990,Cananéia,Registro,Litoral Sul Paulista,0.402,71.69439364467468,17.45115246772378,47.49054416468204,52.5,43.18181818181819,46.089084459773815,Media,DESARROLLO
352042,Ilha Comprida,Registro,Litoral Sul Paulista,0.3359999999999999,24.465497339662345,14.069598048757085,36.34845153835248,62.5,0.0,56.74225769176239,Media,OPORTUNIDAD
350540,Barra do Turvo,Registro,Litoral Sul Paulista,0.62,84.2927257153914,34.30828568323532,46.08058077913007,57.5,26.090909090909093,63.22108571383214,Alta,DESARROLLO
350925,Cajati,Registro,Litoral Sul Paulista,0.5900000000000001,86.2075342309828,14.667999231155438,71.0450613631175,72.5,65.41558441558442,79.39413798441859,Media,MODELO
352460,Jacupiranga,Registro,Litoral Sul Paulista,0.47,80.72958251282178,19.205492206593117,60.241645646747514,65.0,53.66883116883117,63.87056589607526,Media,DESARROLLO
353620,Pariquera-Açu,Registro,Litoral Sul Paulista,0.5519999999999999,84.39167429879282,18.389608416292216,58.76563398176662,65.0,51.824675324675326,60.17881925948242,Media,DESARROLLO
352215,Itaoca,Capão Bonito,Itapetininga,0.556,83.92127114119683,40.22108684951454,47.97653699812969,32.5,40.02597402597402,94.83073693870038,Alta,DESARROLLO
354280,Ribeira,Capão Bonito,Itapetininga,0.41,79.24314513542086,34.282947889855016,36.45706632823944,35.0,28.98701298701299,54.311305667171226,Alta,DESARROLLO
352265,Itapirapuã Paulista,Capão Bonito,Itapetininga,0.18,76.13273290093865,33.445823491014366,36.344327732962626,25.0,33.13636363636363,65.44891139208585,Alta,GAP_CRITICO
354260,Registro,Registro,Litoral Sul Paulista,0.68,84.16248009556523,11.406078632658884,66.26008094357657,67.5,64.47402597402598,67.3523527698309,Baja,MODELO
352030,Iguape,Registro,Litoral Sul Paulista,0.366,77.0859504508513,16.299112644057615,57.67247556134091,62.5,53.87662337662337,55.60913105345778,Media,DESARROLLO
350535,Barra do Chapéu,Capão Bonito,Itapetininga,0.066,77.91830632322858,36.61365399085645,33.64721754405493,10.0,37.42857142857143,73.37894486313178,Alta,GAP_CRITICO
352120,Iporanga,Capão Bonito,Itapetininga,0.246,80.8516948573769,54.24252630607085,44.14555979112902,57.5,26.03896103896104,53.64987687772299,Alta,GAP_CRITICO
350715,Bom Sucesso de Itararé,Itapeva,Itapetininga,0.19,74.17571577086228,29.433829415535246,34.0681737233763,20.0,30.519480519480517,69.30190757792045,Alta,GAP_CRITICO
350270,Apiaí,Capão Bonito,Itapetininga,0.416,76.086843448264,14.943667400633055,62.69556336370436,52.5,66.51948051948051,75.43885577956078,Media,MODELO
352330,Itariri,Itanhaém,Litoral Sul Paulista,0.494,80.25352315495952,23.324290367600764,65.89272962989546,70.0,64.8116883116883,59.840271526100665,Alta,DESARROLLO
351480,Eldorado,Registro,Litoral Sul Paulista,0.476,83.8664796528565,43.016955517830446,65.25263756059826,75.0,53.980519480519476,68.30214884195236,Alta,DESARROLLO
353760,Peruíbe,Itanhaém,Litoral Sul Paulista,0.6759999999999999,78.39758587467807,13.852784501520636,51.57330521160161,72.5,39.6103896103896,33.645746837228806,Media,MODELO
354300,Ribeirão Branco,Capão Bonito,Itapetininga,0.2699999999999999,80.23067929354039,20.462851117614772,38.87596937891057,25.0,33.76623376623377,76.84737936208532,Alta,GAP_CRITICO
353282,Nova Campina,Itapeva,Itapetininga,0.346,78.30223457246137,17.79035283517987,39.237463898440076,22.5,36.36363636363637,78.46004676492765,Media,GAP_CRITICO
351760,Guapiara,Capão Bonito,Itapetininga,0.346,86.90298015576569,23.49852674428405,44.313422066439514,37.5,31.818181818181817,82.93074669583392,Alta,GAP_CRITICO
355180,Sete Barras,Registro,Litoral Sul Paulista,0.506,85.49274468819559,26.63117737210515,55.51973734030334,70.0,33.383116883116884,70.83245293528293,Alta,DESARROLLO
354325,Ribeirão Grande,Capão Bonito,Itapetininga,0.5700000000000001,88.60306829813265,24.688111386136963,37.60795597937613,20.0,28.57142857142857,90.89692275402348,Alta,DESARROLLO
352610,Juquiá,Registro,Litoral Sul Paulista,0.54,85.1816232846122,21.227171463736568,56.54349157259551,65.0,45.52597402597402,61.66550981102946,Alta,DESARROLLO
