cod_ibge,cod_ibge_7,nome_municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao
351030,3510302,Capela do Alto,35046,Sorocaba,3512,Macro Metropolitana Paulista
351040,3510401,Capivari,35028,Piracicaba,3506,Piracicaba
351050,3510500,Caraguatatuba,35054,Caraguatatuba,3513,Vale do Paraíba Paulista
351060,3510609,Carapicuíba,35057,Osasco,3515,Metropolitana de São Paulo
351070,3510708,Cardoso,35003,Votuporanga,3501,São José do Rio Preto
351080,3510807,Casa Branca,35030,São João da Boa Vista,3507,Campinas
351090,3510906,Cássia dos Coqueiros,35015,Batatais,3502,Ribeirão Preto
351100,3511003,Castilho,35016,Andradina,3503,Araçatuba
351110,3511102,Catanduva,35005,Catanduva,3501,São José do Rio Preto
351120,3511201,Catiguá,35005,Catanduva,3501,São José do Rio Preto
351130,3511300,Cedral,35004,São José do Rio Preto,3501,São José do Rio Preto
351140,3511409,Cerqueira César,35022,Avaré,3504,Bauru
351150,3511508,Cerquilho,35043,Tatuí,3511,Itapetininga
351160,3511607,Cesário Lange,35043,Tatuí,3511,Itapetininga
351170,3511706,Charqueada,35028,Piracicaba,3506,Piracicaba
351190,3511904,Clementina,35018,Birigui,3503,Araçatuba
351200,3512001,Colina,35009,Barretos,3502,Ribeirão Preto
351210,3512100,Colômbia,35009,Barretos,3502,Ribeirão Preto
351220,3512209,Conchal,35027,Limeira,3506,Piracicaba
351230,3512308,Conchas,35023,Botucatu,3504,Bauru
351240,3512407,Cordeirópolis,35027,Limeira,3506,Piracicaba
351250,3512506,Coroados,35018,Birigui,3503,Araçatuba
351260,3512605,Coronel Macedo,35041,Itapeva,3511,Itapetininga
351270,3512704,Corumbataí,35026,Rio Claro,3506,Piracicaba
351280,3512803,Cosmópolis,35032,Campinas,3507,Campinas
351290,3512902,Cosmorama,35003,Votuporanga,3501,São José do Rio Preto
351300,3513009,Cotia,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
351310,3513108,Cravinhos,35014,Ribeirão Preto,3502,Ribeirão Preto
351320,3513207,Cristais Paulista,35012,Franca,3502,Ribeirão Preto
351330,3513306,Cruzália,35039,Assis,3510,Assis
351340,3513405,Cruzeiro,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
351350,3513504,Cubatão,35063,Santos,3515,Metropolitana de São Paulo
351360,3513603,Cunha,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
351370,3513702,Descalvado,35025,São Carlos,3505,Araraquara
351380,3513801,Diadema,35061,São Paulo,3515,Metropolitana de São Paulo
351385,3513850,Dirce Reis,35001,Jales,3501,São José do Rio Preto
351390,3513900,Divinolândia,35030,São João da Boa Vista,3507,Campinas
351400,3514007,Dobrada,35024,Araraquara,3505,Araraquara
351410,3514106,Dois Córregos,35021,Jaú,3504,Bauru
351420,3514205,Dolcinópolis,35001,Jales,3501,São José do Rio Preto
351430,3514304,Dourado,35025,São Carlos,3505,Araraquara
351440,3514403,Dracena,35034,Dracena,3508,Presidente Prudente
351450,3514502,Duartina,35020,Bauru,3504,Bauru
351460,3514601,Dumont,35014,Ribeirão Preto,3502,Ribeirão Preto
351470,3514700,Echaporã,35038,Marília,3509,Marília
351480,3514809,Eldorado,35055,Registro,3514,Litoral Sul Paulista
351490,3514908,Elias Fausto,35032,Campinas,3507,Campinas
351492,3514924,Elisiário,35005,Catanduva,3501,São José do Rio Preto
351495,3514957,Embaúba,35005,Catanduva,3501,São José do Rio Preto
351500,3515004,Embu das Artes,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
351510,3515103,Embu-Guaçu,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
351512,3515129,Emilianópolis,35036,Presidente Prudente,3508,Presidente Prudente
351515,3515152,Engenheiro Coelho,35031,Mogi Mirim,3507,Campinas
351518,3515186,Espírito Santo do Pinhal,35030,São João da Boa Vista,3507,Campinas
351519,3515194,Espírito Santo do Turvo,35040,Ourinhos,3510,Assis
351520,3515202,Estrela d'Oeste,35002,Fernandópolis,3501,São José do Rio Preto
351530,3515301,Estrela do Norte,35036,Presidente Prudente,3508,Presidente Prudente
351535,3515350,Euclides da Cunha Paulista,35036,Presidente Prudente,3508,Presidente Prudente
351540,3515400,Fartura,35040,Ourinhos,3510,Assis
351550,3515509,Fernandópolis,35002,Fernandópolis,3501,São José do Rio Preto
351560,3515608,Fernando Prestes,35013,Jaboticabal,3502,Ribeirão Preto
351565,3515657,Fernão,35038,Marília,3509,Marília
351570,3515707,Ferraz de Vasconcelos,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
351580,3515806,Flora Rica,35035,Adamantina,3508,Presidente Prudente
351590,3515905,Floreal,35006,Auriflama,3501,São José do Rio Preto
351600,3516002,Flórida Paulista,35035,Adamantina,3508,Presidente Prudente
351610,3516101,Florínea,35039,Assis,3510,Assis
351620,3516200,Franca,35012,Franca,3502,Ribeirão Preto
351630,3516309,Francisco Morato,35058,Franco da Rocha,3515,Metropolitana de São Paulo
351640,3516408,Franco da Rocha,35058,Franco da Rocha,3515,Metropolitana de São Paulo
351650,3516507,Gabriel Monteiro,35018,Birigui,3503,Araçatuba
351660,3516606,Gália,35038,Marília,3509,Marília
351670,3516705,Garça,35038,Marília,3509,Marília
351680,3516804,Gastão Vidigal,35006,Auriflama,3501,São José do Rio Preto
351685,3516853,Gavião Peixoto,35024,Araraquara,3505,Araraquara
351690,3516903,General Salgado,35006,Auriflama,3501,São José do Rio Preto
351700,3517000,Getulina,35019,Lins,3504,Bauru
351710,3517109,Glicério,35018,Birigui,3503,Araçatuba
351720,3517208,Guaiçara,35019,Lins,3504,Bauru
351730,3517307,Guaimbê,35019,Lins,3504,Bauru
351740,3517406,Guaíra,35010,São Joaquim da Barra,3502,Ribeirão Preto
351750,3517505,Guapiaçu,35004,São José do Rio Preto,3501,São José do Rio Preto
351760,3517604,Guapiara,35044,Capão Bonito,3511,Itapetininga
351770,3517703,Guará,35011,Ituverava,3502,Ribeirão Preto
351780,3517802,Guaraçaí,35016,Andradina,3503,Araçatuba
351790,3517901,Guaraci,35004,São José do Rio Preto,3501,São José do Rio Preto
351800,3518008,Guarani d'Oeste,35002,Fernandópolis,3501,São José do Rio Preto
351810,3518107,Guarantã,35020,Bauru,3504,Bauru
351820,3518206,Guararapes,35017,Araçatuba,3503,Araçatuba
351830,3518305,Guararema,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
351840,3518404,Guaratinguetá,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
351850,3518503,Guareí,35042,Itapetininga,3511,Itapetininga
351860,3518602,Guariba,35013,Jaboticabal,3502,Ribeirão Preto
351870,3518701,Guarujá,35063,Santos,3515,Metropolitana de São Paulo
351880,3518800,Guarulhos,35059,Guarulhos,3515,Metropolitana de São Paulo
351885,3518859,Guatapará,35014,Ribeirão Preto,3502,Ribeirão Preto
351890,3518909,Guzolândia,35006,Auriflama,3501,São José do Rio Preto
351900,3519006,Herculândia,35037,Tupã,3509,Marília
351905,3519055,Holambra,35032,Campinas,3507,Campinas
351907,3519071,Hortolândia,35032,Campinas,3507,Campinas
351910,3519105,Iacanga,35020,Bauru,3504,Bauru
351920,3519204,Iacri,35037,Tupã,3509,Marília
351925,3519253,Iaras,35022,Avaré,3504,Bauru
351930,3519303,Ibaté,35025,São Carlos,3505,Araraquara
351940,3519402,Ibirá,35004,São José do Rio Preto,3501,São José do Rio Preto
351950,3519501,Ibirarema,35039,Assis,3510,Assis
351960,3519600,Ibitinga,35024,Araraquara,3505,Araraquara
351970,3519709,Ibiúna,35045,Piedade,3512,Macro Metropolitana Paulista
351980,3519808,Icém,35004,São José do Rio Preto,3501,São José do Rio Preto
351990,3519907,Iepê,35039,Assis,3510,Assis
352000,3520004,Igaraçu do Tietê,35021,Jaú,3504,Bauru
352010,3520103,Igarapava,35011,Ituverava,3502,Ribeirão Preto
352020,3520202,Igaratá,35050,São José dos Campos,3513,Vale do Paraíba Paulista
352030,3520301,Iguape,35055,Registro,3514,Litoral Sul Paulista
352040,3520400,Ilhabela,35054,Caraguatatuba,3513,Vale do Paraíba Paulista
352042,3520426,Ilha Comprida,35055,Registro,3514,Litoral Sul Paulista
352044,3520442,Ilha Solteira,35016,Andradina,3503,Araçatuba
352050,3520509,Indaiatuba,35032,Campinas,3507,Campinas
352060,3520608,Indiana,35036,Presidente Prudente,3508,Presidente Prudente
352070,3520707,Indiaporã,35002,Fernandópolis,3501,São José do Rio Preto
352080,3520806,Inúbia Paulista,35035,Adamantina,3508,Presidente Prudente
352090,3520905,Ipaussu,35040,Ourinhos,3510,Assis
352100,3521002,Iperó,35046,Sorocaba,3512,Macro Metropolitana Paulista
352110,3521101,Ipeúna,35026,Rio Claro,3506,Piracicaba
352115,3521150,Ipiguá,35004,São José do Rio Preto,3501,São José do Rio Preto
352120,3521200,Iporanga,35044,Capão Bonito,3511,Itapetininga
352130,3521309,Ipuã,35010,São Joaquim da Barra,3502,Ribeirão Preto
352140,3521408,Iracemápolis,35027,Limeira,3506,Piracicaba
352150,3521507,Irapuã,35008,Novo Horizonte,3501,São José do Rio Preto
352160,3521606,Irapuru,35035,Adamantina,3508,Presidente Prudente
352170,3521705,Itaberá,35041,Itapeva,3511,Itapetininga
352180,3521804,Itaí,35022,Avaré,3504,Bauru
352190,3521903,Itajobi,35008,Novo Horizonte,3501,São José do Rio Preto
352200,3522000,Itaju,35021,Jaú,3504,Bauru
352210,3522109,Itanhaém,35056,Itanhaém,3514,Litoral Sul Paulista
352215,3522158,Itaoca,35044,Capão Bonito,3511,Itapetininga
352220,3522208,Itapecerica da Serra,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
352230,3522307,Itapetininga,35042,Itapetininga,3511,Itapetininga
352240,3522406,Itapeva,35041,Itapeva,3511,Itapetininga
352250,3522505,Itapevi,35057,Osasco,3515,Metropolitana de São Paulo
352260,3522604,Itapira,35031,Mogi Mirim,3507,Campinas
352265,3522653,Itapirapuã Paulista,35044,Capão Bonito,3511,Itapetininga
352270,3522703,Itápolis,35024,Araraquara,3505,Araraquara
352280,3522802,Itaporanga,35041,Itapeva,3511,Itapetininga
352290,3522901,Itapuí,35021,Jaú,3504,Bauru
352300,3523008,Itapura,35016,Andradina,3503,Araçatuba
352310,3523107,Itaquaquecetuba,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
352320,3523206,Itararé,35041,Itapeva,3511,Itapetininga
352330,3523305,Itariri,35056,Itanhaém,3514,Litoral Sul Paulista
352340,3523404,Itatiba,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
352350,3523503,Itatinga,35022,Avaré,3504,Bauru
352360,3523602,Itirapina,35026,Rio Claro,3506,Piracicaba
352370,3523701,Itirapuã,35012,Franca,3502,Ribeirão Preto
352380,3523800,Itobi,35030,São João da Boa Vista,3507,Campinas
352390,3523909,Itu,35046,Sorocaba,3512,Macro Metropolitana Paulista
352400,3524006,Itupeva,35047,Jundiaí,3512,Macro Metropolitana Paulista
352410,3524105,Ituverava,35011,Ituverava,3502,Ribeirão Preto
352420,3524204,Jaborandi,35010,São Joaquim da Barra,3502,Ribeirão Preto
352430,3524303,Jaboticabal,35013,Jaboticabal,3502,Ribeirão Preto
352440,3524402,Jacareí,35050,São José dos Campos,3513,Vale do Paraíba Paulista
352450,3524501,Jaci,35004,São José do Rio Preto,3501,São José do Rio Preto
352460,3524600,Jacupiranga,35055,Registro,3514,Litoral Sul Paulista
352470,3524709,Jaguariúna,35032,Campinas,3507,Campinas
352480,3524808,Jales,35001,Jales,3501,São José do Rio Preto
352490,3524907,Jambeiro,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
352500,3525003,Jandira,35057,Osasco,3515,Metropolitana de São Paulo
352510,3525102,Jardinópolis,35014,Ribeirão Preto,3502,Ribeirão Preto
352520,3525201,Jarinu,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
352530,3525300,Jaú,35021,Jaú,3504,Bauru
352540,3525409,Jeriquara,35012,Franca,3502,Ribeirão Preto
352550,3525508,Joanópolis,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
352560,3525607,João Ramalho,35036,Presidente Prudente,3508,Presidente Prudente
352570,3525706,José Bonifácio,35004,São José do Rio Preto,3501,São José do Rio Preto
352580,3525805,Júlio Mesquita,35019,Lins,3504,Bauru
352585,3525854,Jumirim,35028,Piracicaba,3506,Piracicaba
352590,3525904,Jundiaí,35047,Jundiaí,3512,Macro Metropolitana Paulista
352600,3526001,Junqueirópolis,35034,Dracena,3508,Presidente Prudente
352610,3526100,Juquiá,35055,Registro,3514,Litoral Sul Paulista
352620,3526209,Juquitiba,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
352630,3526308,Lagoinha,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
352640,3526407,Laranjal Paulista,35043,Tatuí,3511,Itapetininga
352650,3526506,Lavínia,35017,Araçatuba,3503,Araçatuba
352660,3526605,Lavrinhas,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
352670,3526704,Leme,35027,Limeira,3506,Piracicaba
352680,3526803,Lençóis Paulista,35020,Bauru,3504,Bauru
352690,3526902,Limeira,35027,Limeira,3506,Piracicaba
352700,3527009,Lindóia,35033,Amparo,3507,Campinas
352710,3527108,Lins,35019,Lins,3504,Bauru
352720,3527207,Lorena,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
352725,3527256,Lourdes,35018,Birigui,3503,Araçatuba
352730,3527306,Louveira,35047,Jundiaí,3512,Macro Metropolitana Paulista
352740,3527405,Lucélia,35035,Adamantina,3508,Presidente Prudente
352750,3527504,Lucianópolis,35020,Bauru,3504,Bauru
352760,3527603,Luís Antônio,35014,Ribeirão Preto,3502,Ribeirão Preto
352770,3527702,Luiziânia,35018,Birigui,3503,Araçatuba
352780,3527801,Lupércio,35038,Marília,3509,Marília
352790,3527900,Lutécia,35039,Assis,3510,Assis
352800,3528007,Macatuba,35021,Jaú,3504,Bauru
352810,3528106,Macaubal,35007,Nhandeara,3501,São José do Rio Preto
352820,3528205,Macedônia,35002,Fernandópolis,3501,São José do Rio Preto
352830,3528304,Magda,35006,Auriflama,3501,São José do Rio Preto
352840,3528403,Mairinque,35046,Sorocaba,3512,Macro Metropolitana Paulista
352850,3528502,Mairiporã,35058,Franco da Rocha,3515,Metropolitana de São Paulo
352860,3528601,Manduri,35040,Ourinhos,3510,Assis
352870,3528700,Marabá Paulista,35036,Presidente Prudente,3508,Presidente Prudente
352880,3528809,Maracaí,35039,Assis,3510,Assis
352885,3528858,Marapoama,35008,Novo Horizonte,3501,São José do Rio Preto
352890,3528908,Mariápolis,35035,Adamantina,3508,Presidente Prudente
352900,3529005,Marília,35038,Marília,3509,Marília
352910,3529104,Marinópolis,35001,Jales,3501,São José do Rio Preto
352920,3529203,Martinópolis,35036,Presidente Prudente,3508,Presidente Prudente
352930,3529302,Matão,35024,Araraquara,3505,Araraquara
352940,3529401,Mauá,35061,São Paulo,3515,Metropolitana de São Paulo
352950,3529500,Mendonça,35004,São José do Rio Preto,3501,São José do Rio Preto
352960,3529609,Meridiano,35002,Fernandópolis,3501,São José do Rio Preto
352965,3529658,Mesópolis,35001,Jales,3501,São José do Rio Preto
352970,3529708,Miguelópolis,35010,São Joaquim da Barra,3502,Ribeirão Preto
352980,3529807,Mineiros do Tietê,35021,Jaú,3504,Bauru
352990,3529906,Miracatu,35055,Registro,3514,Litoral Sul Paulista
353000,3530003,Mira Estrela,35002,Fernandópolis,3501,São José do Rio Preto
353010,3530102,Mirandópolis,35016,Andradina,3503,Araçatuba
353020,3530201,Mirante do Paranapanema,35036,Presidente Prudente,3508,Presidente Prudente
353030,3530300,Mirassol,35004,São José do Rio Preto,3501,São José do Rio Preto
353040,3530409,Mirassolândia,35004,São José do Rio Preto,3501,São José do Rio Preto
353050,3530508,Mococa,35030,São João da Boa Vista,3507,Campinas
353060,3530607,Mogi das Cruzes,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
353070,3530706,Mogi Guaçu,35031,Mogi Mirim,3507,Campinas
353080,3530805,Mogi Mirim,35031,Mogi Mirim,3507,Campinas
353090,3530904,Mombuca,35028,Piracicaba,3506,Piracicaba
353100,3531001,Monções,35007,Nhandeara,3501,São José do Rio Preto
353110,3531100,Mongaguá,35056,Itanhaém,3514,Litoral Sul Paulista
353120,3531209,Monte Alegre do Sul,35033,Amparo,3507,Campinas
353130,3531308,Monte Alto,35013,Jaboticabal,3502,Ribeirão Preto
353140,3531407,Monte Aprazível,35007,Nhandeara,3501,São José do Rio Preto
353150,3531506,Monte Azul Paulista,35013,Jaboticabal,3502,Ribeirão Preto
353160,3531605,Monte Castelo,35034,Dracena,3508,Presidente Prudente
353170,3531704,Monteiro Lobato,35049,Campos do Jordão,3513,Vale do Paraíba Paulista
353180,3531803,Monte Mor,35032,Campinas,3507,Campinas
353190,3531902,Morro Agudo,35010,São Joaquim da Barra,3502,Ribeirão Preto
353200,3532009,Morungaba,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
353205,3532058,Motuca,35024,Araraquara,3505,Araraquara
353210,3532108,Murutinga do Sul,35016,Andradina,3503,Araçatuba
353215,3532157,Nantes,35039,Assis,3510,Assis
353220,3532207,Narandiba,35036,Presidente Prudente,3508,Presidente Prudente
353230,3532306,Natividade da Serra,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
353240,3532405,Nazaré Paulista,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
353250,3532504,Neves Paulista,35007,Nhandeara,3501,São José do Rio Preto
353260,3532603,Nhandeara,35007,Nhandeara,3501,São José do Rio Preto
353270,3532702,Nipoã,35007,Nhandeara,3501,São José do Rio Preto
353280,3532801,Nova Aliança,35004,São José do Rio Preto,3501,São José do Rio Preto
353282,3532827,Nova Campina,35041,Itapeva,3511,Itapetininga
353284,3532843,Nova Canaã Paulista,35001,Jales,3501,São José do Rio Preto
353286,3532868,Nova Castilho,35006,Auriflama,3501,São José do Rio Preto
353290,3532900,Nova Europa,35024,Araraquara,3505,Araraquara
353300,3533007,Nova Granada,35004,São José do Rio Preto,3501,São José do Rio Preto
353310,3533106,Nova Guataporanga,35034,Dracena,3508,Presidente Prudente
353320,3533205,Nova Independência,35016,Andradina,3503,Araçatuba
353325,3533254,Novais,35005,Catanduva,3501,São José do Rio Preto
353330,3533304,Nova Luzitânia,35006,Auriflama,3501,São José do Rio Preto
353340,3533403,Nova Odessa,35032,Campinas,3507,Campinas
353350,3533502,Novo Horizonte,35008,Novo Horizonte,3501,São José do Rio Preto
353360,3533601,Nuporanga,35010,São Joaquim da Barra,3502,Ribeirão Preto
353370,3533700,Ocauçu,35038,Marília,3509,Marília
353380,3533809,Óleo,35040,Ourinhos,3510,Assis
353390,3533908,Olímpia,35004,São José do Rio Preto,3501,São José do Rio Preto
353400,3534005,Onda Verde,35004,São José do Rio Preto,3501,São José do Rio Preto
353410,3534104,Oriente,35038,Marília,3509,Marília
353420,3534203,Orindiúva,35004,São José do Rio Preto,3501,São José do Rio Preto
353430,3534302,Orlândia,35010,São Joaquim da Barra,3502,Ribeirão Preto
353440,3534401,Osasco,35057,Osasco,3515,Metropolitana de São Paulo
353450,3534500,Oscar Bressane,35038,Marília,3509,Marília
353460,3534609,Osvaldo Cruz,35035,Adamantina,3508,Presidente Prudente
353470,3534708,Ourinhos,35040,Ourinhos,3510,Assis
