outcome,predictor,moderator,coef_predictor,p_predictor,coef_moderator,p_moderator,coef_interaction,p_interaction,aic_interaction,aic_additive,delta_aic,r2_marginal,n
flooding_risks,forest_cover,pct_pobreza,0.05674150386074582,2.883705561307845e-06,-0.033581532129688535,0.00010554523461654385,-0.025694035631320947,0.023758535881952352,-284.663783267446,-281.6023743607511,-3.061408906694851,0.25939625322214005,645
flooding_risks,mean_species_richness,pct_pobreza,0.02303586690997351,0.05823499049803187,-0.029118473916196305,0.0009564269092061403,-0.018423707742404313,0.03509068632767261,-267.71696962062197,-265.2894195545241,-2.427550066097865,0.23351909271325083,645
flooding_risks,pol_deficit,pct_pobreza,-0.05438580774399002,3.384982402320661e-07,-0.03822644855648304,4.281770182215817e-06,0.046817400750520204,6.672173864128985e-06,-319.54167056908227,-301.6188861002024,-17.922784468879854,0.2955481318772757,645
flooding_risks,idx_gobernanza,pct_pobreza,0.020143884658706725,0.03833117400189801,-0.027645387376447783,0.00863675645192149,-0.030556070892179873,0.000889559263556273,-282.93006049765063,-273.94971074796103,-8.980349749689594,0.2490088002927873,645
flooding_risks,UAI_env,pct_pobreza,0.009952560809777976,0.20372858149072093,-0.023977510261849674,0.005383761889902784,-0.01626966964714018,0.0382827791361604,-264.2889715830215,-262.00437267766483,-2.284598905356688,0.22946276815184374,645
flooding_risks,UAI_Crisk,pct_pobreza,0.02393319041299263,0.006781143050828564,-0.027245632282520547,0.0029158244903318424,-0.03064328677877305,0.0007903499191479494,-285.01455481078347,-275.81186547696416,-9.202689333819308,0.2517467305419621,645
flooding_risks,forest_cover,pct_rural,0.07211593536039776,1.414344258878699e-08,-0.035651237760645334,0.00011089168886423554,-0.0030950321918708727,0.6357547885457798,-286.22136544851537,-287.9969775533991,1.7756121048837485,0.259999523148815,645
flooding_risks,mean_species_richness,pct_rural,0.024502166392050637,0.04676912341330098,-0.0293834640806662,0.0010088375151609034,-0.026616037358268153,0.0005958227653748441,-279.57224561741714,-269.93314657298833,-9.639099044428804,0.2371024614028727,645
flooding_risks,pol_deficit,pct_rural,-0.06786699467630722,2.0937616004555014e-08,-0.02506001990922082,0.004721324433719926,0.0030952224874109284,0.7094382357302829,-297.4288698745222,-299.29001397787715,1.8611441033549454,0.27117530674721735,645
flooding_risks,idx_gobernanza,pct_rural,0.02291414766843623,0.009402568866467113,-0.024566066841109235,0.009868805148988831,-0.030762429432488903,0.00028160515314255353,-287.66696161183063,-276.6192485473066,-11.047713064524032,0.24968906370219904,645
flooding_risks,UAI_env,pct_rural,0.009021946333700239,0.24376865727301,-0.02950418420696046,0.0012946715662922599,-0.020206016925014017,0.012474191744041475,-269.0080985165114,-264.79317590800383,-4.21492260850755,0.2297434102748773,645
flooding_risks,UAI_Crisk,pct_rural,0.02990454770151908,0.0004689818761064034,-0.023111722717227525,0.012486227719059169,-0.012837882243963055,0.11096110310371046,-278.3822630789118,-277.845078681039,-0.5371843978728066,0.24225373985196036,645
flooding_risks,forest_cover,pct_preta,0.06656332644931272,1.390944773412963e-07,0.037418967898247855,2.376245058963368e-05,-0.011814322503459866,0.05530977381849888,-287.06476564424884,-285.40270950085596,-1.6620561433928742,0.2610606825505861,645
flooding_risks,mean_species_richness,pct_preta,0.026310889676661762,0.027434385623311266,0.03362924844471879,0.00012401542167280277,0.022240943933672916,0.00675120358993604,-278.25901793268076,-272.95920472968373,-5.299813202997029,0.245064641401443,645
flooding_risks,pol_deficit,pct_preta,-0.04809951803242949,0.00013824094006026756,0.020803092902761687,0.01813108770120586,-0.016477229940060956,0.006147926050999286,-305.24039252695,-299.8021283428666,-5.438264184083437,0.2789429523088773,645
flooding_risks,idx_gobernanza,pct_preta,0.03361245070464989,2.8958498539881303e-05,0.034910306370527916,5.168779823789028e-05,0.02706695667569913,0.0004386791424637439,-296.7107135336428,-286.40801284310237,-10.302700690540405,0.26557708025281646,645
flooding_risks,UAI_env,pct_preta,0.01518316635132704,0.045719600497267976,0.03553717322218222,5.463083576138434e-05,0.018912212077015624,0.01098045600885037,-275.3037281111983,-270.8492424151318,-4.454485696066513,0.24131612851105158,645
flooding_risks,UAI_Crisk,pct_preta,0.03467751179572629,1.6454334860160957e-05,0.03215123913272057,0.0001808055819645642,0.02926312972998038,5.6864739817879345e-05,-300.05543345485376,-285.96515961289833,-14.090273841955423,0.2682620601417165,645
flooding_risks,forest_cover,pct_indigena,0.0635613488877955,2.3210774974097256e-06,-0.003713059597367135,0.6604091881681691,-0.007588487299358024,0.6476972163238688,-268.99694091763376,-270.7881761705794,1.7912352529456257,0.2421672758868058,645
flooding_risks,mean_species_richness,pct_indigena,0.030217359880711916,0.012661136904764829,-8.20873248521801e-05,0.9915971601222495,0.003218141460684673,0.8075150543732287,-255.88546862686962,-257.82610761384876,1.9406389869791383,0.22079563222524975,645
flooding_risks,pol_deficit,pct_indigena,-0.07370742013932755,2.4036129852665233e-11,-0.005003199165824459,0.5326408916630563,0.019629559446502617,0.2792899510311466,-289.7617803037565,-290.5918565608881,0.8300762571316227,0.2642743575948014,645
flooding_risks,idx_gobernanza,pct_indigena,0.038806095253932305,3.8084934412384193e-06,0.013052702352990208,0.5232757756431468,0.015825650216967895,0.5269694038691236,-271.258042178446,-272.85768601552536,1.599643837079384,0.23774933834762835,645
flooding_risks,UAI_env,pct_indigena,0.015195412580986032,0.0476329005285424,0.007104284346567952,0.5162977396619106,-0.011584936841395643,0.31328017764778493,-254.91797097683138,-255.90178235578605,0.9838113789546696,0.218871574297039,645
flooding_risks,UAI_Crisk,pct_indigena,0.03834182264195003,4.11401930259801e-06,0.008727617051083788,0.564875120683872,0.016460258327183872,0.5338862170573817,-270.9137313521478,-272.5264943193524,1.6127629672046169,0.2370461162212836,645
fire_risk_index,forest_cover,pct_pobreza,-0.29939572535835607,0.7200832643191266,-5.36125814404621,3.86324982158972e-32,0.6458978539892613,0.30038394861555506,4826.082256086485,4825.155654427541,0.9266016589444916,0.3198202106899217,645
fire_risk_index,mean_species_richness,pct_pobreza,0.7181919862192603,0.28265144246224183,-5.794857326919296,2.6918852176048634e-38,-0.7441526940796327,0.09455514577135238,4822.5719782784945,4823.35853182672,-0.7865535482251289,0.30729754984394914,645
fire_risk_index,pol_deficit,pct_pobreza,4.25289759241176,3.634842876102563e-15,-5.071081810877416,1.7344724185996947e-33,-1.610401946376957,0.0025932969897346364,4744.560586026277,4751.560451547877,-6.999865521600441,0.4203559473626292,645
fire_risk_index,idx_gobernanza,pct_pobreza,1.9421758665543891,6.519136409906381e-05,-4.926802335824897,1.2797033111742659e-20,-0.46016616745094235,0.3177617805455163,4803.821415521254,4802.8175236535735,1.0038918676800677,0.31150395168542844,645
fire_risk_index,UAI_env,pct_pobreza,0.8556514342592396,0.029920126734402242,-5.459102649334143,2.1242541535618916e-36,-0.6857347519000769,0.08246678036373271,4818.905705992411,4819.909093126682,-1.003387134271179,0.31124035671971556,645
fire_risk_index,UAI_Crisk,pct_pobreza,0.574420540331658,0.2052078656711972,-5.414006727398269,1.1337468145875154e-30,-0.02441892296581866,0.9585588490503381,4825.497139628984,4823.499826766229,1.9973128627552796,0.3076014230791268,645
