outcome,predictor,coef,se,p_value,aic,r2_marginal,n,dimension,delta_aic,aic_weight
flooding_risks,pol_deficit,-0.07246478570396218,0.010914689113150373,3.15393791962548e-11,-292.5491860640427,0.26315808426251913,645,Biodiversidad,0.0,0.9996801464282027
flooding_risks,idx_gobernanza,0.03748327245070527,0.008141196865224423,4.1415855507280305e-06,-274.8400291272037,0.23674835184935078,645,Gobernanza,17.70915693683901,0.00014268111637809078
flooding_risks,UAI_Crisk,0.037437283455982136,0.008192601142042082,4.885497446329645e-06,-274.5225099281288,0.23634528177184957,645,Gobernanza,18.02667613591393,0.00012173573457364414
flooding_risks,forest_cover,0.061489025203206316,0.012765476510496703,1.4586286282330113e-06,-272.7247486869783,0.24183838117545442,645,Biodiversidad,19.82443737706444,4.9549489831872034e-05
flooding_risks,pct_preta,0.03373703490095473,0.008881529075435636,0.00014553828606530506,-267.98647065997466,0.22880135467832927,645,Vulnerabilidad,24.562715404068058,4.635912036057978e-06
flooding_risks,pct_rural,-0.030065237827404924,0.00901475410024286,0.0008526425922827279,-264.7645378827574,0.22154686180668282,645,Vulnerabilidad,27.78464818128532,9.257663135011719e-07
flooding_risks,pct_pobreza,-0.023777254196852615,0.008346474017147186,0.00438874486931796,-261.8370669317719,0.2227071832712909,645,Vulnerabilidad,30.7121191322708,2.1419490382739776e-07
flooding_risks,mean_species_richness,0.03014330875284531,0.012118477370958792,0.012868635209623657,-259.81672443104526,0.22070898465358998,645,Biodiversidad,32.732461632997456,7.800049054527647e-08
flooding_risks,UAI_env,0.015608331261706623,0.007662151045587218,0.0416431162395932,-257.88042226521156,0.21791569028868948,645,Gobernanza,34.66876379883115,2.9623383506791713e-08
flooding_risks,pct_indigena,-0.0006309750180367414,0.007362639861087808,0.9317052495905472,-253.73819327386082,0.21312148154974175,645,Vulnerabilidad,38.8109927901819,3.733886084865929e-09
fire_risk_index,pct_pobreza,-5.547330544320453,0.421131732669573,1.264518173823816e-39,4823.320761605028,0.31003759242137835,645,Vulnerabilidad,0.0,1.0
fire_risk_index,idx_gobernanza,3.9906425932069207,0.4380076712456689,8.170393911027316e-20,4897.862584620389,0.25607706910995787,645,Gobernanza,74.54182301536093,6.508018768197827e-17
fire_risk_index,pol_deficit,4.6903948502529005,0.5582991409442732,4.41857343492249e-17,4911.448093775161,0.2771014135737157,645,Biodiversidad,88.12733217013374,7.301178509734679e-20
fire_risk_index,UAI_env,1.9477223754044861,0.43276305978661517,6.774059339531912e-06,4954.4869887348505,0.22344446697774745,645,Gobernanza,131.1662271298228,3.293181543226008e-29
fire_risk_index,UAI_Crisk,1.8359439849817438,0.4667694713770795,8.378783881540775e-05,4959.1659868735715,0.21732387238012316,645,Gobernanza,135.8452252685438,3.173833475523755e-30
fire_risk_index,pct_rural,-1.7532073357631865,0.5172041475912962,0.0006994919807203463,4962.933405908219,0.2194227929297626,645,Vulnerabilidad,139.6126443031917,4.825024107828302e-31
fire_risk_index,pct_preta,1.1400630541246215,0.5102810346836808,0.025470797214789963,4969.346054726784,0.21305446343032786,645,Vulnerabilidad,146.02529312175648,1.954386659252168e-32
fire_risk_index,forest_cover,-1.34523224178796,0.7865518753055825,0.08721215783486594,4971.569346397382,0.21507119403635624,645,Biodiversidad,148.24858479235445,6.430264499482506e-33
fire_risk_index,mean_species_richness,1.1051352636426104,0.7095486841646954,0.11934741122376265,4971.877904234305,0.20970466719231967,645,Biodiversidad,148.55714262927722,5.5109485234432044e-33
fire_risk_index,pct_indigena,-0.6194538754627343,0.4241193293188786,0.14413483964388712,4972.18787619077,0.2107782806202692,645,Vulnerabilidad,148.86711458574246,4.7197261362456954e-33
hydric_stress_risk,pct_pobreza,-0.06146787375771315,0.004692053066818205,3.274333697817094e-39,-983.4130888816867,0.2604537293744242,645,Vulnerabilidad,0.0,0.9999999999999996
hydric_stress_risk,pct_rural,-0.0479758192565379,0.005090872706016924,4.346828497706881e-21,-912.2568761848152,0.1757460070655999,645,Vulnerabilidad,71.15621269687153,3.5369159238410375e-16
hydric_stress_risk,mean_species_richness,0.034539580516519425,0.006311488625799384,4.437470262925286e-08,-860.8017200252261,0.11464066037113317,645,Biodiversidad,122.61136885646056,2.3729005856160816e-27
hydric_stress_risk,idx_gobernanza,0.02538885642265253,0.00509354808822664,6.211808463922669e-07,-856.616956495579,0.11160317680611442,645,Gobernanza,126.79613238610773,2.9279906733989164e-28
hydric_stress_risk,UAI_Crisk,0.015857413896308105,0.0051943961931447185,0.002267226296486868,-841.5324922651098,0.09290076869832692,645,Gobernanza,141.8805966165769,1.5524581447007526e-31
hydric_stress_risk,pct_indigena,-0.014483375179916087,0.004859962672265186,0.002881155066769004,-841.1321265234678,0.09377465645774254,645,Vulnerabilidad,142.28096235821886,1.2708128101006076e-31
hydric_stress_risk,UAI_env,0.010834897685974048,0.005023500991062238,0.03101798107156003,-836.9387416929117,0.0875126152954267,645,Gobernanza,146.47434718877503,1.5613477356920537e-32
hydric_stress_risk,pct_preta,0.010092914879305111,0.005592081468116079,0.07109685223762424,-835.5138163176475,0.08430761501224016,645,Vulnerabilidad,147.89927256403917,7.657394534431585e-33
hydric_stress_risk,forest_cover,-0.006762854881868173,0.006578631922462208,0.3039483071317647,-833.3546862000908,0.08448394516308644,645,Biodiversidad,150.0584026815959,2.6015481965048987e-33
hydric_stress_risk,pol_deficit,0.005324925956943873,0.0061246966312765005,0.3846181429840533,-833.0595109755031,0.08514640946994377,645,Biodiversidad,150.35357790618355,2.2445815586929137e-33
