lval,op,rval,Estimate,Std. Err,z-value,p-value
forest_cover_z,~,idx_gobernanza_z,0.06124857877527729,0.0505591905838518,1.211423246036462,0.22573323464419381
forest_cover_z,~,pct_rural_z,0.43388726538347927,0.03994536771785606,10.862017053823852,0.0
forest_cover_z,~,log_pop_z,0.3670283753868769,0.05476084045493502,6.702387551597523,2.050404290798724e-11
fire_incidence_mean_z,~,idx_gobernanza_z,0.31088332749372116,0.03994809891050616,7.782180778674756,7.105427357601002e-15
fire_incidence_mean_z,~,forest_cover_z,-0.17710716270045065,0.03958384257693383,-4.4742286540715925,7.668764380408533e-06
fire_incidence_mean_z,~,pct_rural_z,-0.07678549890201575,0.04037502164980025,-1.901807002510767,0.05719639049103975
fire_risk_index_z,~,fire_incidence_mean_z,0.7979923104018907,0.02295235449370598,34.76733990780552,0.0
fire_risk_index_z,~,forest_cover_z,-0.13949874426092587,0.023173808728541547,-6.019672721432944,1.7477008729116505e-09
fire_risk_index_z,~,pct_rural_z,0.02320765668227487,0.023477948321842895,0.9884874250146873,0.32291399002389065
mort_circ_rate_z,~,fire_risk_index_z,-0.14368192212319744,0.06620465782225306,-2.1702690844923005,0.029986467209088374
mort_circ_rate_z,~,fire_incidence_mean_z,0.09459205927357675,0.0653984367213745,1.446396336278392,0.14806606887773155
mort_circ_rate_z,~,forest_cover_z,0.09745372479289,0.0408456480701326,2.3859022783326775,0.017037277568208165
mort_circ_rate_z,~,idx_vulnerabilidad_z,-0.3332565976521108,0.06052388683680386,-5.506199536477145,3.66662922246519e-08
mort_circ_rate_z,~,pct_pobreza_z,0.44591259076369755,0.06131268055115882,7.272762938236876,3.5216274341109965e-13
fire_incidence_mean_z,~~,fire_incidence_mean_z,0.8685485850628941,0.048364784568964383,17.95828499569669,0.0
fire_risk_index_z,~~,fire_risk_index_z,0.32283751321468934,0.017977079285988365,17.95828499506903,0.0
forest_cover_z,~~,forest_cover_z,0.8034488296099966,0.044739730424476216,17.95828499566657,0.0
mort_circ_rate_z,~~,mort_circ_rate_z,0.9133951419163485,0.05086204735676817,17.958284995714894,0.0
