hypothesis,biodiversity,health_outcome,moderator,r_high_vuln,r_low_vuln,diff_r,interaction_coef,interaction_p,significant_moderation
H1.3,forest_cover,incidence_mean_dengue,pct_pobreza,-0.46619605737186515,-0.42830078164845603,0.037895275723409116,-0.1637719366771912,0.0014606553422621038,True
H1.3,forest_cover,incidence_mean_malaria,pct_pobreza,0.011939546846541239,0.04748427032995108,-0.03554472348340984,-0.09375012493711951,0.07604264064916122,False
H1.3,forest_cover,incidence_mean_leptospirose,pct_pobreza,0.09950005029340966,0.3471752390103052,-0.24767518871689556,-0.06645237184303572,0.20569137902708629,False
H1.3,forest_cover,incidence_mean_leishmaniose,pct_pobreza,-0.14997276276956126,-0.11399801210906076,0.0359747506605005,0.4773842151705732,1.802527824322149e-21,True
H1.3,forest_cover,incidence_diarrhea_mean,pct_pobreza,-0.31432646708441536,-0.388849135718695,-0.07452266863427964,0.004087661282137752,0.9379853221480157,False
H1.3,forest_cover,health_death_circ_mean,pct_pobreza,-0.016951026698646822,-0.00030660411066242213,0.0166444225879844,0.0006924473547592273,0.9894915231054988,False
H1.3,forest_cover,health_hosp_resp_mean,pct_pobreza,-0.2518352529741284,-0.3766051000497562,-0.12476984707562783,-0.04537512637433654,0.37229631792640994,False
H1.3,mean_species_richness,incidence_mean_dengue,pct_pobreza,-0.46221549896337893,-0.4425026881087558,0.01971281085462312,-0.005031451032114136,0.9011600716436297,False
H1.3,mean_species_richness,incidence_mean_malaria,pct_pobreza,-0.032736966547100246,-0.16680566615624773,-0.13406869960914747,0.02093697921625822,0.6304438705769972,False
H1.3,mean_species_richness,incidence_mean_leptospirose,pct_pobreza,0.17680801223595377,0.3923995398540091,-0.21559152761805533,-0.09444065452733731,0.027383856534871492,True
H1.3,mean_species_richness,incidence_mean_leishmaniose,pct_pobreza,-0.44023302355365707,-0.2904255879415888,0.14980743561206827,0.03353710435023382,0.42555375699632014,False
H1.3,mean_species_richness,incidence_diarrhea_mean,pct_pobreza,-0.4197922359707394,-0.44903358379216446,-0.029241347821425068,0.03883731559944421,0.3539738529545745,False
H1.3,mean_species_richness,health_death_circ_mean,pct_pobreza,-0.06701714502226011,-0.23266612404280776,-0.16564897902054765,0.06421356535777759,0.1306911806874029,False
H1.3,mean_species_richness,health_hosp_resp_mean,pct_pobreza,-0.33111123930884334,-0.44598559285131106,-0.11487435354246772,0.038763581543866214,0.3425610072957428,False
H1.3,forest_cover,incidence_mean_dengue,pct_rural,-0.5302866883593379,-0.3377130964191394,0.19257359194019852,0.007793854528092377,0.788628211635346,False
H1.3,forest_cover,incidence_mean_malaria,pct_rural,0.09438070858190978,0.1240675349111623,-0.029686826329252528,-0.05624018056966928,0.06343852518215777,False
H1.3,forest_cover,incidence_mean_leptospirose,pct_rural,0.25595964770254637,0.2553793144097286,0.0005803332928177585,0.04631452421359402,0.12457133326573125,False
